Channel,Image,WorkerID,Country,TotalTimeSeconds,name1,name1corrected,name1family,name1classification,name2,name2corrected,name2family,name2classification,name3,name3corrected,name3family,name3classification,nrAnnotations,nrFlowerAnnotations,ConfidenceSingle,Confidence1,Confidence2,Confidence3,AverageConfidence,ComCl,ComClD,Comment,ImageClicked,TagTiming,Dimension amount,Dimension prominence,Dimension,name1botanical,name2botanical,name3botanical,,
point_dollars,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-23.488,14391015,ITA,66,magnoglie,magnolia,magnoliaceae,1,,,,,,,,,1,1,,3,,,3,,,,FALSE,"{""name1"":[{""ms"":11797,""tag"":""magnoglie"",""startTime"":1377600154323}]}",multiple,non-prominent,d4,magnolia,,,,
point_dollars,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1890-A-15384,14391015,ITA,174,giglio,lily,liliaceae,1,sempreverdi,no flower name,,-1,,,,,2,1,,3,,,3,,,,FALSE,"{""name1"":[{""ms"":7869,""tag"":""giglio"",""startTime"":1377596055939}],""name2"":[{""ms"":7251,""tag"":""sempreverdi"",""startTime"":1377596064610}]}",multiple,non-prominent,d4,lilium,no flower name,no flower name,,
point_dollars,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-6587,14391015,ITA,45,iris,iris,iridaceae,1,,,,,,,,,1,1,,3,,,3,,,,FALSE,"{""name1"":[{""ms"":4842,""tag"":""iris"",""startTime"":1377600650363}]}",single,non-prominent,d2,iris,,,,
point_dollars,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1883-A-6931,14391015,ITA,80,sanseviera,sanseviera,asparagaceae,2,,,,,,,,,1,1,,2,,,2,,,,FALSE,"{""name1"":[{""ms"":8636,""tag"":""sanseviera"",""startTime"":1377596761321}]}",single,prominent,d1,sansevieria,,,,
point_dollars,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1906-1284,14391015,ITA,29,glicine,wisteria,fabaceae,1,,,,,,,,,1,1,,3,,,3,,,,FALSE,"{""name1"":[{""ms"":3685,""tag"":""glicine"",""startTime"":1377596801139}]}",single,non-prominent,d2,wisteria,,,,
point_dollars,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1913-2319,14391015,ITA,28,violette,violet,violaceae,1,,,,,,,,,1,1,,4,,,4,,,,FALSE,"{""name1"":[{""ms"":5980,""tag"":""violette"",""startTime"":1377600260649}]}",multiple,prominent,d3,viola,,,,
point_dollars,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1935-1086,14391015,ITA,57,clematis,clematis,ranunculaceae,2,,,,,,,,,1,1,,3,,,3,,,,FALSE,"{""name1"":[{""ms"":8127,""tag"":""clematis"",""startTime"":1377600360797}]}",multiple,non-prominent,d4,clematis,,,,
point_dollars,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1907-4586,14391015,ITA,57,margherite,daisy,asteraceae,0,,,,,,,,,1,1,,3,,,3,,,,FALSE,"{""name1"":[{""ms"":15622,""tag"":""margherite"",""startTime"":1377600416052}]}",multiple,non-prominent,d4,bellis perennis,,,,
point_dollars,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-2003-216,14391015,ITA,52,unable,no flower name,,-1,no details,no flower name,,-1,,,,,2,0,,3,,,3,,,,FALSE,"{""name1"":[{""ms"":12751,""tag"":""unable"",""startTime"":1377595055018}],""name2"":[{""ms"":7110,""tag"":""no details"",""startTime"":1377595069952}]}",multiple,non-prominent,d4,no flower name,no flower name,no flower name,,
point_dollars,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1907-39,14391015,ITA,46,iris,iris,iridaceae,1,,,,,,,,,1,1,,3,,,3,,,,FALSE,"{""name1"":[{""ms"":5898,""tag"":""iris"",""startTime"":1377600588592}]}",single,non-prominent,d2,iris,,,,
